Poland, Life tables (period 1x1), Males	Last modified: 05 Nov 2024;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1958           0      0.08371  0.07907  0.30  100000    7907   94458  6301785  63.02
  1958           1      0.00503  0.00502  0.50   92093     462   91862  6207327  67.40
  1958           2      0.00203  0.00203  0.50   91631     186   91537  6115465  66.74
  1958           3      0.00146  0.00146  0.50   91444     134   91377  6023928  65.88
  1958           4      0.00107  0.00107  0.50   91311      98   91262  5932550  64.97
  1958           5      0.00094  0.00094  0.50   91213      86   91170  5841289  64.04
  1958           6      0.00085  0.00085  0.50   91127      77   91088  5750119  63.10
  1958           7      0.00079  0.00079  0.50   91049      72   91013  5659031  62.15
  1958           8      0.00069  0.00069  0.50   90978      63   90946  5568018  61.20
  1958           9      0.00067  0.00067  0.50   90915      61   90884  5477071  60.24
  1958          10      0.00064  0.00064  0.50   90854      58   90825  5386187  59.28
  1958          11      0.00062  0.00061  0.50   90796      56   90768  5295362  58.32
  1958          12      0.00057  0.00057  0.50   90740      52   90714  5204595  57.36
  1958          13      0.00067  0.00067  0.50   90688      60   90657  5113881  56.39
  1958          14      0.00084  0.00084  0.50   90627      76   90589  5023224  55.43
  1958          15      0.00086  0.00086  0.50   90551      78   90512  4932635  54.47
  1958          16      0.00101  0.00101  0.50   90473      91   90428  4842123  53.52
  1958          17      0.00117  0.00117  0.50   90382     106   90329  4751695  52.57
  1958          18      0.00146  0.00146  0.50   90276     132   90210  4661366  51.63
  1958          19      0.00175  0.00175  0.50   90145     157   90066  4571156  50.71
  1958          20      0.00209  0.00209  0.50   89987     188   89893  4481090  49.80
  1958          21      0.00207  0.00207  0.50   89799     186   89706  4391197  48.90
  1958          22      0.00198  0.00198  0.50   89613     177   89525  4301491  48.00
  1958          23      0.00184  0.00184  0.50   89436     164   89354  4211966  47.09
  1958          24      0.00212  0.00212  0.50   89272     189   89177  4122611  46.18
  1958          25      0.00211  0.00211  0.50   89083     188   88989  4033434  45.28
  1958          26      0.00210  0.00210  0.50   88895     186   88802  3944445  44.37
  1958          27      0.00206  0.00205  0.50   88708     182   88617  3855644  43.46
  1958          28      0.00213  0.00213  0.50   88526     189   88432  3767027  42.55
  1958          29      0.00242  0.00242  0.50   88337     214   88230  3678595  41.64
  1958          30      0.00246  0.00245  0.50   88124     216   88015  3590365  40.74
  1958          31      0.00255  0.00255  0.50   87907     224   87795  3502349  39.84
  1958          32      0.00249  0.00248  0.50   87683     218   87574  3414554  38.94
  1958          33      0.00274  0.00274  0.50   87466     239   87346  3326979  38.04
  1958          34      0.00283  0.00282  0.50   87226     246   87103  3239633  37.14
  1958          35      0.00275  0.00274  0.50   86980     239   86861  3152530  36.24
  1958          36      0.00275  0.00275  0.50   86741     239   86622  3065670  35.34
  1958          37      0.00286  0.00286  0.50   86503     247   86379  2979048  34.44
  1958          38      0.00338  0.00337  0.50   86256     291   86110  2892669  33.54
  1958          39      0.00322  0.00322  0.50   85965     276   85826  2806559  32.65
  1958          40      0.00358  0.00358  0.50   85688     307   85535  2720732  31.75
  1958          41      0.00358  0.00357  0.50   85382     305   85229  2635197  30.86
  1958          42      0.00422  0.00421  0.50   85077     358   84898  2549968  29.97
  1958          43      0.00460  0.00459  0.50   84719     389   84525  2465070  29.10
  1958          44      0.00483  0.00482  0.50   84330     407   84127  2380546  28.23
  1958          45      0.00482  0.00481  0.50   83924     403   83722  2296419  27.36
  1958          46      0.00573  0.00571  0.50   83520     477   83282  2212697  26.49
  1958          47      0.00607  0.00605  0.50   83043     503   82792  2129415  25.64
  1958          48      0.00674  0.00671  0.50   82540     554   82263  2046623  24.80
  1958          49      0.00786  0.00783  0.50   81986     642   81665  1964360  23.96
  1958          50      0.00787  0.00783  0.50   81344     637   81026  1882695  23.14
  1958          51      0.00901  0.00897  0.50   80707     724   80345  1801669  22.32
  1958          52      0.00999  0.00994  0.50   79983     795   79586  1721324  21.52
  1958          53      0.01098  0.01092  0.50   79188     865   78756  1641738  20.73
  1958          54      0.01213  0.01206  0.50   78323     944   77851  1562982  19.96
  1958          55      0.01260  0.01252  0.50   77379     969   76894  1485131  19.19
  1958          56      0.01500  0.01489  0.50   76410    1137   75841  1408237  18.43
  1958          57      0.01576  0.01564  0.50   75272    1177   74684  1332395  17.70
  1958          58      0.01846  0.01829  0.50   74095    1355   73417  1257712  16.97
  1958          59      0.01982  0.01962  0.50   72740    1427   72026  1184294  16.28
  1958          60      0.02273  0.02247  0.50   71312    1603   70511  1112268  15.60
  1958          61      0.02437  0.02408  0.50   69710    1679   68870  1041757  14.94
  1958          62      0.02675  0.02639  0.50   68031    1796   67133   972887  14.30
  1958          63      0.02803  0.02764  0.50   66236    1831   65320   905753  13.67
  1958          64      0.03130  0.03082  0.50   64405    1985   63412   840433  13.05
  1958          65      0.03286  0.03233  0.50   62420    2018   61411   777020  12.45
  1958          66      0.03604  0.03540  0.50   60402    2138   59333   715609  11.85
  1958          67      0.04164  0.04079  0.50   58264    2377   57075   656276  11.26
  1958          68      0.04458  0.04361  0.50   55887    2437   54669   599201  10.72
  1958          69      0.04789  0.04677  0.50   53450    2500   52200   544532  10.19
  1958          70      0.05121  0.04993  0.50   50950    2544   49678   492332   9.66
  1958          71      0.05872  0.05704  0.50   48406    2761   47025   442654   9.14
  1958          72      0.06510  0.06305  0.50   45645    2878   44206   395629   8.67
  1958          73      0.06730  0.06511  0.50   42767    2785   41375   351423   8.22
  1958          74      0.07609  0.07330  0.50   39983    2931   38517   310048   7.75
  1958          75      0.08014  0.07706  0.50   37052    2855   35624   271531   7.33
  1958          76      0.09353  0.08935  0.50   34197    3056   32669   235907   6.90
  1958          77      0.09111  0.08714  0.50   31141    2714   29784   203238   6.53
  1958          78      0.11073  0.10492  0.50   28428    2983   26936   173453   6.10
  1958          79      0.12257  0.11550  0.50   25445    2939   23976   146517   5.76
  1958          80      0.13060  0.12259  0.50   22506    2759   21127   122541   5.44
  1958          81      0.13435  0.12590  0.50   19747    2486   18504   101415   5.14
  1958          82      0.15606  0.14477  0.50   17261    2499   16012    82911   4.80
  1958          83      0.16876  0.15563  0.50   14762    2297   13613    66899   4.53
  1958          84      0.17883  0.16415  0.50   12465    2046   11442    53286   4.27
  1958          85      0.19810  0.18024  0.50   10419    1878    9480    41844   4.02
  1958          86      0.20589  0.18667  0.50    8541    1594    7744    32364   3.79
  1958          87      0.23993  0.21423  0.50    6946    1488    6202    24621   3.54
  1958          88      0.23892  0.21342  0.50    5458    1165    4876    18418   3.37
  1958          89      0.28221  0.24731  0.50    4293    1062    3762    13543   3.15
  1958          90      0.25692  0.22767  0.50    3232     736    2864     9780   3.03
  1958          91      0.31751  0.27401  0.50    2496     684    2154     6916   2.77
  1958          92      0.33718  0.28854  0.50    1812     523    1551     4762   2.63
  1958          93      0.37007  0.31229  0.50    1289     403    1088     3212   2.49
  1958          94      0.37653  0.31688  0.50     887     281     746     2124   2.40
  1958          95      0.40046  0.33365  0.50     606     202     505     1378   2.28
  1958          96      0.42487  0.35043  0.50     404     141     333      873   2.16
  1958          97      0.44965  0.36711  0.50     262      96     214      541   2.06
  1958          98      0.47468  0.38363  0.50     166      64     134      327   1.97
  1958          99      0.49985  0.39990  0.50     102      41      82      192   1.88
  1958         100      0.52501  0.41585  0.50      61      26      49      111   1.80
  1958         101      0.55005  0.43140  0.50      36      15      28       62   1.73
  1958         102      0.57483  0.44650  0.50      20       9      16       34   1.66
  1958         103      0.59925  0.46109  0.50      11       5       9       18   1.60
  1958         104      0.62318  0.47513  0.50       6       3       5        9   1.55
  1958         105      0.64652  0.48858  0.50       3       2       2        5   1.50
  1958         106      0.66919  0.50142  0.50       2       1       1        2   1.45
  1958         107      0.69110  0.51362  0.50       1       0       1        1   1.41
  1958         108      0.71218  0.52517  0.50       0       0       0        1   1.38
  1958         109      0.73238  0.53608  0.50       0       0       0        0   1.35
  1958         110+     0.75166  1.00000  1.33       0       0       0        0   1.33
  1959           0      0.08257  0.07805  0.30  100000    7805   94517  6261227  62.61
  1959           1      0.00519  0.00518  0.50   92195     477   91957  6166709  66.89
  1959           2      0.00197  0.00197  0.50   91718     180   91628  6074752  66.23
  1959           3      0.00145  0.00145  0.50   91538     132   91471  5983124  65.36
  1959           4      0.00108  0.00108  0.50   91405      99   91356  5891653  64.46
  1959           5      0.00090  0.00090  0.50   91306      82   91265  5800297  63.53
  1959           6      0.00079  0.00079  0.50   91224      72   91188  5709032  62.58
  1959           7      0.00083  0.00083  0.50   91152      76   91115  5617843  61.63
  1959           8      0.00074  0.00074  0.50   91077      68   91043  5526729  60.68
  1959           9      0.00061  0.00061  0.50   91009      56   90981  5435686  59.73
  1959          10      0.00067  0.00067  0.50   90953      61   90923  5344705  58.76
  1959          11      0.00069  0.00069  0.50   90892      63   90861  5253782  57.80
  1959          12      0.00067  0.00067  0.50   90829      61   90799  5162921  56.84
  1959          13      0.00068  0.00068  0.50   90768      62   90737  5072122  55.88
  1959          14      0.00080  0.00080  0.50   90706      72   90670  4981385  54.92
  1959          15      0.00088  0.00088  0.50   90634      80   90594  4890715  53.96
  1959          16      0.00105  0.00105  0.50   90554      95   90506  4800121  53.01
  1959          17      0.00139  0.00139  0.50   90459     126   90396  4709615  52.06
  1959          18      0.00136  0.00136  0.50   90333     123   90272  4619219  51.14
  1959          19      0.00189  0.00188  0.50   90210     170   90125  4528947  50.20
  1959          20      0.00193  0.00193  0.50   90040     174   89953  4438821  49.30
  1959          21      0.00207  0.00207  0.50   89866     186   89774  4348868  48.39
  1959          22      0.00200  0.00199  0.50   89681     179   89591  4259094  47.49
  1959          23      0.00204  0.00204  0.50   89502     182   89411  4169503  46.59
  1959          24      0.00212  0.00212  0.50   89320     189   89225  4080092  45.68
  1959          25      0.00220  0.00219  0.50   89130     196   89032  3990867  44.78
  1959          26      0.00212  0.00212  0.50   88935     189   88840  3901835  43.87
  1959          27      0.00212  0.00212  0.50   88746     188   88652  3812995  42.97
  1959          28      0.00222  0.00222  0.50   88558     197   88460  3724342  42.06
  1959          29      0.00232  0.00232  0.50   88362     205   88259  3635883  41.15
  1959          30      0.00247  0.00247  0.50   88156     217   88048  3547624  40.24
  1959          31      0.00246  0.00245  0.50   87939     216   87831  3459576  39.34
  1959          32      0.00254  0.00254  0.50   87723     223   87612  3371745  38.44
  1959          33      0.00257  0.00257  0.50   87500     225   87388  3284133  37.53
  1959          34      0.00267  0.00266  0.50   87276     232   87160  3196745  36.63
  1959          35      0.00286  0.00286  0.50   87043     249   86919  3109585  35.72
  1959          36      0.00294  0.00293  0.50   86794     255   86667  3022666  34.83
  1959          37      0.00311  0.00310  0.50   86540     269   86405  2935999  33.93
  1959          38      0.00339  0.00339  0.50   86271     292   86125  2849594  33.03
  1959          39      0.00370  0.00370  0.50   85979     318   85820  2763469  32.14
  1959          40      0.00368  0.00367  0.50   85661     314   85504  2677649  31.26
  1959          41      0.00382  0.00382  0.50   85347     326   85184  2592145  30.37
  1959          42      0.00423  0.00423  0.50   85021     359   84842  2506961  29.49
  1959          43      0.00426  0.00425  0.50   84662     360   84482  2422119  28.61
  1959          44      0.00520  0.00518  0.50   84302     437   84083  2337637  27.73
  1959          45      0.00532  0.00531  0.50   83865     445   83642  2253554  26.87
  1959          46      0.00567  0.00565  0.50   83420     471   83184  2169912  26.01
  1959          47      0.00630  0.00628  0.50   82948     521   82688  2086728  25.16
  1959          48      0.00665  0.00662  0.50   82427     546   82154  2004041  24.31
  1959          49      0.00684  0.00682  0.50   81881     558   81602  1921887  23.47
  1959          50      0.00858  0.00854  0.50   81323     694   80975  1840285  22.63
  1959          51      0.00898  0.00894  0.50   80628     721   80268  1759309  21.82
  1959          52      0.01065  0.01059  0.50   79907     847   79484  1679042  21.01
  1959          53      0.01091  0.01085  0.50   79061     858   78632  1599557  20.23
  1959          54      0.01196  0.01189  0.50   78203     930   77738  1520925  19.45
  1959          55      0.01332  0.01323  0.50   77273    1023   76762  1443187  18.68
  1959          56      0.01533  0.01521  0.50   76251    1160   75671  1366425  17.92
  1959          57      0.01730  0.01715  0.50   75091    1288   74446  1290755  17.19
  1959          58      0.01838  0.01821  0.50   73802    1344   73130  1216308  16.48
  1959          59      0.02083  0.02062  0.50   72458    1494   71711  1143178  15.78
  1959          60      0.02332  0.02305  0.50   70964    1636   70146  1071467  15.10
  1959          61      0.02570  0.02538  0.50   69329    1759   68449  1001320  14.44
  1959          62      0.02805  0.02766  0.50   67569    1869   66635   932871  13.81
  1959          63      0.02965  0.02921  0.50   65700    1919   64741   866236  13.18
  1959          64      0.03160  0.03110  0.50   63781    1984   62789   801496  12.57
  1959          65      0.03603  0.03539  0.50   61797    2187   60704   738707  11.95
  1959          66      0.03847  0.03775  0.50   59610    2250   58485   678003  11.37
  1959          67      0.04353  0.04260  0.50   57360    2444   56138   619518  10.80
  1959          68      0.04918  0.04800  0.50   54917    2636   53599   563379  10.26
  1959          69      0.05176  0.05045  0.50   52281    2638   50962   509781   9.75
  1959          70      0.05547  0.05397  0.50   49643    2679   48304   458819   9.24
  1959          71      0.06198  0.06012  0.50   46964    2824   45552   410515   8.74
  1959          72      0.06829  0.06604  0.50   44140    2915   42683   364963   8.27
  1959          73      0.07409  0.07144  0.50   41226    2945   39753   322280   7.82
  1959          74      0.07622  0.07343  0.50   38280    2811   36875   282527   7.38
  1959          75      0.09006  0.08618  0.50   35470    3057   33941   245652   6.93
  1959          76      0.09610  0.09169  0.50   32413    2972   30927   211711   6.53
  1959          77      0.10889  0.10327  0.50   29441    3040   27921   180784   6.14
  1959          78      0.12400  0.11676  0.50   26400    3083   24859   152863   5.79
  1959          79      0.11395  0.10781  0.50   23318    2514   22061   128004   5.49
  1959          80      0.13885  0.12984  0.50   20804    2701   19453   105943   5.09
  1959          81      0.15451  0.14343  0.50   18103    2596   16805    86489   4.78
  1959          82      0.15892  0.14722  0.50   15506    2283   14365    69685   4.49
  1959          83      0.18464  0.16903  0.50   13224    2235   12106    55320   4.18
  1959          84      0.19478  0.17749  0.50   10988    1950   10013    43214   3.93
  1959          85      0.23554  0.21072  0.50    9038    1904    8086    33201   3.67
  1959          86      0.22512  0.20234  0.50    7134    1443    6412    25115   3.52
  1959          87      0.24366  0.21720  0.50    5690    1236    5072    18703   3.29
  1959          88      0.27720  0.24346  0.50    4454    1084    3912    13631   3.06
  1959          89      0.30850  0.26727  0.50    3370     901    2919     9719   2.88
  1959          90      0.30927  0.26785  0.50    2469     661    2138     6799   2.75
  1959          91      0.35156  0.29900  0.50    1808     541    1538     4661   2.58
  1959          92      0.37617  0.31662  0.50    1267     401    1067     3123   2.46
  1959          93      0.36988  0.31215  0.50     866     270     731     2057   2.37
  1959          94      0.41005  0.34028  0.50     596     203     494     1326   2.23
  1959          95      0.43536  0.35753  0.50     393     141     323      831   2.12
  1959          96      0.46101  0.37465  0.50     252      95     205      509   2.01
  1959          97      0.48686  0.39155  0.50     158      62     127      304   1.92
  1959          98      0.51279  0.40814  0.50      96      39      76      177   1.84
  1959          99      0.53864  0.42436  0.50      57      24      45      100   1.76
  1959         100      0.56430  0.44012  0.50      33      14      26       55   1.69
  1959         101      0.58961  0.45536  0.50      18       8      14       30   1.63
  1959         102      0.61445  0.47004  0.50      10       5       8       16   1.57
  1959         103      0.63872  0.48411  0.50       5       3       4        8   1.51
  1959         104      0.66229  0.49754  0.50       3       1       2        4   1.47
  1959         105      0.68509  0.51029  0.50       1       1       1        2   1.42
  1959         106      0.70703  0.52236  0.50       1       0       0        1   1.38
  1959         107      0.72804  0.53375  0.50       0       0       0        0   1.35
  1959         108      0.74809  0.54444  0.50       0       0       0        0   1.32
  1959         109      0.76713  0.55446  0.50       0       0       0        0   1.29
  1959         110+     0.78514  1.00000  1.27       0       0       0        0   1.27
  1960           0      0.06472  0.06169  0.24  100000    6169   95308  6480660  64.81
  1960           1      0.00349  0.00348  0.50   93831     327   93668  6385352  68.05
  1960           2      0.00168  0.00168  0.50   93504     157   93426  6291684  67.29
  1960           3      0.00111  0.00111  0.50   93348     104   93296  6198258  66.40
  1960           4      0.00088  0.00088  0.50   93244      82   93203  6104962  65.47
  1960           5      0.00081  0.00081  0.50   93162      75   93125  6011759  64.53
  1960           6      0.00068  0.00068  0.50   93087      63   93055  5918634  63.58
  1960           7      0.00057  0.00057  0.50   93024      53   92997  5825579  62.62
  1960           8      0.00063  0.00063  0.50   92971      59   92941  5732582  61.66
  1960           9      0.00062  0.00062  0.50   92912      57   92883  5639641  60.70
  1960          10      0.00056  0.00056  0.50   92854      52   92829  5546758  59.74
  1960          11      0.00058  0.00058  0.50   92803      54   92776  5453929  58.77
  1960          12      0.00059  0.00059  0.50   92749      54   92722  5361153  57.80
  1960          13      0.00056  0.00056  0.50   92695      52   92669  5268431  56.84
  1960          14      0.00073  0.00073  0.50   92643      67   92609  5175762  55.87
  1960          15      0.00083  0.00083  0.50   92575      77   92537  5083153  54.91
  1960          16      0.00094  0.00094  0.50   92499      87   92455  4990616  53.95
  1960          17      0.00102  0.00102  0.50   92412      94   92365  4898161  53.00
  1960          18      0.00137  0.00136  0.50   92318     126   92255  4805796  52.06
  1960          19      0.00164  0.00164  0.50   92192     151   92116  4713542  51.13
  1960          20      0.00166  0.00166  0.50   92040     153   91964  4621426  50.21
  1960          21      0.00186  0.00185  0.50   91887     170   91802  4529462  49.29
  1960          22      0.00176  0.00176  0.50   91717     162   91636  4437660  48.38
  1960          23      0.00180  0.00180  0.50   91555     164   91473  4346024  47.47
  1960          24      0.00192  0.00192  0.50   91391     175   91303  4254551  46.55
  1960          25      0.00197  0.00196  0.50   91215     179   91126  4163248  45.64
  1960          26      0.00201  0.00201  0.50   91036     183   90945  4072122  44.73
  1960          27      0.00194  0.00194  0.50   90853     176   90765  3981177  43.82
  1960          28      0.00200  0.00200  0.50   90677     181   90587  3890412  42.90
  1960          29      0.00212  0.00211  0.50   90496     191   90400  3799825  41.99
  1960          30      0.00215  0.00215  0.50   90305     194   90208  3709425  41.08
  1960          31      0.00232  0.00232  0.50   90111     209   90006  3619217  40.16
